,"Дата отгрузки 06.01.2024
Дата привоза в магазин 07.01.2024",Горячий онигири с беконом ,Горячий онигири с курицей чили ,Горячий онигири с сурими и хумусом Эдамаме ,Онигири с куриным филе в соусе спайси Жизньмарт,Онигири с лососем в соусе том ям Жизньмарт,Онигири с лососем и сливочным сыром Жизньмарт,Онигири с сурими Жизньмарт,Онигири с тунцом в соусе спайси Жизньмарт,Ролл Мистер Сурими,"Ролл Чукка с снежным крабом, шт (Жизньмарт)",Ролл сливочный с курицей и огурцами ЖМ,"Ролл сливочный с лососем, шт (Жизньмарт)","Ролл с лососем и огурцом, шт (Жизньмарт)","Трайфл ""Наполеон"" в банке","Трайфл ""Тирамису"" в банке",Трайфл Морковный с корицей в банке,Трайфл Чернослив с грецкими орехами в банке,Трайфл с соленой карамелью в банке,"Чизкейк ""Карамель-банан"" 100 гр","Чизкейк ""Медовый"" 100 гр","Десерт ""Бабушкино варенье"", 100г","Печенье ""Имбирный домик"", 40г",Шоколад молочный с ореховым нугатином,Шоколад с розовой солью,Белый ремесленный шоколад с фисташкой и шпинатом
1,ЖМ Челябинск Сони Кривой 83 БОЛЬШОЙ ФОРМАТ,10,14,6,20,3,6,30,5,0,0,0,0,3,1,0,0,0,1,0,0,2,0,0,0,0
2,ЖМ Челябинск Родионова 17 БОЛЬШОЙ ФОРМАТ,15,13,3,30,9,13,25,12,0,0,0,0,0,2,2,2,1,3,4,1,2,3,0,0,0
3,"Челябинск, Ленина 54а МИНИ ФОРМАТ",4,4,3,30,4,7,40,10,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
4,ЖМ Челябинск Гагарина 26 БОЛЬШОЙ ФОРМАТ,10,10,4,17,0,4,30,8,3,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0
5,ЖМ Челябинск Братьев Кашириных 156 БОЛЬШОЙ ФОРМАТ,12,9,2,32,2,4,48,9,0,0,0,0,0,1,1,1,1,3,1,1,0,4,0,0,0
6,ЖМ Челябинск Труда 176 БОЛЬШОЙ ФОРМАТ,20,19,3,25,2,5,28,13,0,0,0,0,0,0,0,2,1,3,2,2,0,2,0,0,0
7,ЖМ Челябинск Свободы 151а БОЛЬШОЙ ФОРМАТ,6,7,3,40,0,4,37,4,0,0,0,0,0,3,3,3,0,2,2,0,1,1,0,0,0
8,ЖМ Челябинск Свердловский 88 БОЛЬШОЙ ФОРМАТ,10,11,2,36,2,1,37,6,0,0,0,0,0,0,2,0,2,3,3,1,1,0,0,0,0
9,Челябинск Сони Кривой 41 МИНИ ФОРМАТ,8,6,2,25,0,4,35,10,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0
10,Челябинск Ленина 26Б МИНИ ФОРМАТ,2,2,0,15,2,2,20,2,0,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0
11,Челябинск Кирова 25А МИНИ ФОРМАТ,2,3,2,5,1,3,24,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,ЖМ Челябинск Ленина 73 БОЛЬШОЙ ФОРМАТ,14,12,4,35,1,6,52,3,0,0,3,0,0,0,1,0,0,0,1,2,0,1,0,0,0
13,Челябинск Воровского 73 МИНИ ФОРМАТ,2,2,1,15,2,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ЖМ Челябинск Университетская 64 БОЛЬШОЙ ФОРМАТ,17,12,2,25,3,1,18,3,0,0,0,0,0,1,1,1,1,2,3,0,1,4,0,0,0
15,Челябинск Кирова 90 МИНИ ФОРМАТ,7,8,4,10,4,6,25,7,0,0,0,0,1,3,1,0,1,1,1,0,0,0,0,0,0
16,ЖМ Челябинск Чичерина 38В БОЛЬШОЙ ФОРМАТ,8,7,2,30,5,6,40,10,2,2,1,2,0,2,0,1,2,1,2,0,1,2,0,0,0
17,Челябинск Мопра 9 МИНИ ФОРМАТ,4,2,2,8,0,2,4,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
18,Челябинск Свободы 139 МИНИ ФОРМАТ,2,3,2,2,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,Челябинск Аэропорт МИНИ ФОРМАТ,0,0,0,13,2,4,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ЖМ Челябинск Братьев Кашириных 78 БОЛЬШОЙ ФОРМАТ,6,6,2,20,5,8,20,9,1,1,1,1,1,2,0,1,1,2,1,1,2,1,5,5,5
,Итого,159,150,49,433,47,88,549,123,6,4,6,4,6,25,15,12,15,29,22,9,11,19,5,5,5